Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,RoleID,LevelID,PerfScoreID,Tribe,Squad,DOB,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,RecruitmentSource,EngagementSurvey,EngangementSurveyRound,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
Gusti Zainokta,10109,Menikah,Married,P,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Pay,10/23/71,Cina,2/16/2015,3/15/2017,"no-call, no-show",Terminated for Cause,Indeed,4.6,5,4,4,1/20/2016,0,10
Hadi,10110,Belum Menikah,Single,L,TKP/ Outsource,Mobile Developer iOS,Junior,Fully meets,ENT,HunianAja,11/24/89,Jawa,3/30/2015,,N/A-StillEmployed,Active,LinkedIn,4.3,4,5,7,1/10/2020,0,20
Hadi Purnomo,10111,Menikah,Widowed,P,Prohire,Back End Developer,Junior,Average,ENT,Intermoda,06/18/92,Sunda,11/11/2013,,N/A-StillEmployed,Active,Indeed,4.3,4,5,0,2/18/2020,0,7
Hakim Rizki Pratama,10112,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Senior,Average,FIN,Inpoin,09/29/69,Padang,7/11/2011,,N/A-StillEmployed,Active,Diversity Job Fair,4.5,5,4,0,2/18/2020,0,1
Halah Helmia Wahdah,10113,Menikah,Married,L,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Data & Dashboard Analytics,12/10/1964,Bali,4/26/2010,5/30/2013,career change,Voluntarily Terminated,Diversity Job Fair,3,3,3,0,3/6/2012,3,10
Hammad Bhat,10114,Belum Menikah,Single,P,Prohire,Back End Developer,Senior,Exceed,EWD,Explore,04/16/81,Jawa,1/5/2015,,N/A-StillEmployed,Active,Employee Referral,4.61,5,4,5,1/28/2020,0,11
Hanif Maghfur,10115,Menikah,Married,P,TKP/ Outsource,Back End Developer,Middle,Average,EWD,AM Performance,05/25/86,Cina,5/12/2014,,N/A-StillEmployed,Active,LinkedIn,4.6,5,3,0,2/7/2020,0,20
Hans Christian Saragih,10116,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Middle,Average,EWD,Delivery & Project Mgt,05/21/79,Bali,7/2/2012,,N/A-StillEmployed,Active,LinkedIn,5,5,3,0,1/14/2020,0,2
Hardeni Jumaidi,10117,Menikah,Married,P,TKP/ Outsource,Back End Developer,Middle,Fully meets,EWD,Evaluate,8/12/1983,Jawa,9/30/2013,,N/A-StillEmployed,Active,Google Search,4.4,4,5,0,2/21/2020,0,1
Harsa,10118,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Get Support,9/10/1974,Padang,8/19/2013,,N/A-StillEmployed,Active,LinkedIn,4.1,4,5,0,2/15/2020,0,3
Hasanal Bulkiah,10119,Menikah,Widowed,L,TKP/ Outsource,Front End Developer,Junior,Exceed,EWD,Get Support & Terminated,11/7/1981,Bali,6/2/2015,,N/A-StillEmployed,Active,Employee Referral,4.63,5,3,0,1/4/2020,0,2
Hasbi Nur Fadhil,10120,Menikah,Widowed,P,TKP/ Outsource,Front End Developer,Junior,Average,EWD,Pay,05/21/83,Bali,2/21/2011,1/11/2016,more money,Voluntarily Terminated,CareerBuilder,5,5,5,0,6/3/2014,0,17
Hazrul Saktio Ramadhana,10121,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Exceed,EWD,Payment - SSOF,06/30/89,Padang,4/20/2017,,N/A-StillEmployed,Active,Indeed,4.2,4,5,5,1/28/2020,0,8
Herdis Suryatna,10122,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Junior,Exceed,HLT,Pre Vaksinasi,9/2/1969,Bali,3/7/2012,10/31/2016,relocation out of area,Voluntarily Terminated,LinkedIn,4.5,5,5,0,2/1/2014,0,20
Hervita Ayu Andini,10123,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Senior,Special treatment,HLT,Vaksinasi,03/23/77,Jawa,11/28/2011,,N/A-StillEmployed,Active,Google Search,4.2,4,4,0,2/22/2020,0,13
Hilman Zakky,10124,Menikah,Married,L,TKP/ Outsource,Back End Developer,Junior,Average,FIN,Platform,10/8/1988,Bali,11/11/2013,,N/A-StillEmployed,Active,LinkedIn,5,5,3,0,1/8/2020,0,20
Idham Muhammad Irfani,10125,Menikah,Widowed,P,TKP/ Outsource,Back End Developer,Middle,Fully meets,EWD,Data & Dashboard Analytics,08/18/52,Padang,1/9/2012,12/15/2017,retiring,Voluntarily Terminated,CareerBuilder,4.64,5,4,0,5/2/2016,0,8
Ignatius Nicolas Harman,10126,Menikah,Married,P,TKP/ Outsource,Software Architect,Middle,Exceed,ENT,MyPertamina,2/5/1974,Jawa,5/12/2014,,N/A-StillEmployed,Active,CareerBuilder,4.76,5,4,0,2/15/2020,0,5
Ikhsan Dwi Murtiyanto,10127,Menikah,Widowed,L,TKP/ Outsource,Front End Developer,Middle,Exceed,ENT,MyPertamina,4/1/1984,Cina,8/13/2012,,N/A-StillEmployed,Active,Google Search,4.17,4,4,0,2/11/2020,0,1
Ilham Abdul Malik,10128,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Junior,Fully meets,EDU,Squad Pijar Sekolah,08/27/72,Jawa,1/10/2011,6/18/2015,hours,Voluntarily Terminated,CareerBuilder,5,5,3,0,1/30/2014,0,15
Ilham Setiabudi,10129,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Need improvement,VGA,IndiBOX Apps,09/14/88,Padang,8/18/2014,,N/A-StillEmployed,Active,Indeed,3.6,4,5,0,1/30/2020,0,9
Inda Novelia,10130,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Senior,Fully meets,IHL,IndiBOX STB,02/16/84,Bali,8/15/2011,4/7/2014,relocation out of area,Voluntarily Terminated,Indeed,3.03,3,5,0,3/5/2013,0,16
Indriani Tiosari Sitorus,10131,Menikah,Married,P,TKP/ Outsource,Mobile Developer Android,Junior,Exceed,FIN,Platform,02/21/84,Padang,3/30/2015,,N/A-StillEmployed,Active,Indeed,4.48,4,5,6,1/3/2020,0,4
Iqbal,10132,Menikah,Married,P,TKP/ Outsource,Mobile Developer Android,Junior,Fully meets,EWD,Core Domain,03/17/66,Padang,5/5/2014,,N/A-StillEmployed,Active,LinkedIn,4.5,5,4,0,1/21/2020,0,19
Iqbal Restu Maulana,10133,Menikah,Widowed,P,TKP/ Outsource,Front End Developer,Senior,Average,EWD,Get Support,09/16/85,Padang,2/16/2015,4/15/2017,"no-call, no-show",Terminated for Cause,Indeed,3.24,3,3,4,4/15/2016,0,6
Irfan Hafizh Tawakal,10134,Menikah,Widowed,P,TKP/ Outsource,Back End Developer,Junior,Fully meets,EDU,Squad Pijar Sekolah,10/6/1986,Cina,2/20/2012,,N/A-StillEmployed,Active,LinkedIn,4.8,5,4,0,1/7/2020,0,4
Irfan Naufal Ridi,10135,Menikah,Married,P,TKP/ Outsource,Back End Developer,Junior,Exceed,EDU,Squad Service Core,11/3/1984,Cina,6/6/2016,,N/A-StillEmployed,Active,LinkedIn,3,3,5,0,1/18/2020,0,4
Irham Raziqony,10136,Menikah,Widowed,P,TKP/ Outsource,Back End Developer,Junior,Average,EDU,Squad Control Tower,7/5/1992,Bali,6/5/2015,,N/A-StillEmployed,Active,Indeed,4.5,5,3,0,2/14/2020,0,6
Irman Juliansyah,10137,Belum Menikah,Single,P,TKP/ Outsource,System Documentation,Middle,Need improvement,EDU,Squad Service Core,09/22/76,Cina,2/21/2011,4/1/2015,unhappy,Voluntarily Terminated,Google Search,3.72,4,3,0,2/1/2014,0,18
Ismi Dwi Lestari,10138,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Junior,Need improvement,COM,UMEETME,11/15/76,Bali,2/21/2011,9/24/2014,unhappy,Voluntarily Terminated,Indeed,2.34,2,2,0,4/12/2013,3,4
Ismi Narti,10139,Belum Menikah,Single,P,Prohire,Front End Developer,Senior,Exceed,IHL,IndiHome Smart,01/28/91,Padang,8/19/2013,,N/A-StillEmployed,Active,Indeed,3.99,4,3,0,1/14/2020,0,14
Jafar Haritsah,10140,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Junior,Fully meets,VGA,UseeTV Go,11/9/1972,Cina,11/5/2012,,N/A-StillEmployed,Active,LinkedIn,4.1,4,3,0,1/17/2020,0,7
Jessica Shopia Alussy,10141,Belum Menikah,Single,P,TKP/ Outsource,Mobile Developer Android,Junior,Fully meets,COM,ChatAja,03/22/66,Sunda,9/30/2013,,N/A-StillEmployed,Active,Employee Referral,4.3,4,5,0,2/22/2020,0,7
Jonior Prabowo,10142,Belum Menikah,Single,P,TKP/ Outsource,Mobile Developer Android,Junior,Exceed,LGT,Logee Truck Apps,6/11/1986,Bali,7/5/2011,,N/A-StillEmployed,Active,LinkedIn,4.6,5,4,0,2/25/2020,0,11
Karang Reksa,10143,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Front End Developer,Junior,Need improvement,EWD,Sales Cycle  ,04/13/64,Sunda,1/6/2014,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,1/21/2020,0,9
Karina Emelia,10144,Menikah,Widowed,L,Prohire,Scrum Master,Junior,Need improvement,COM,Vutura,08/19/59,Jawa,11/7/2011,4/29/2020,more money,Voluntarily Terminated,CareerBuilder,4.7,5,4,0,2/14/2019,0,9
Kevin Martinda Sodikin,10145,Belum Menikah,Single,P,TKP/ Outsource,DevOps Engineer,Middle,Need improvement,COM,Vutura,7/11/1986,Bali,1/5/2015,,N/A-StillEmployed,Active,Indeed,3.75,4,3,5,2/11/2020,0,2
Khalisa Syahba,10146,Menikah,Married,P,Prohire,Back End Developer,Senior,Average,IHX,Squad B,8/9/1969,Padang,7/7/2014,,N/A-StillEmployed,Active,LinkedIn,4.3,4,3,0,1/11/2020,0,1
Khonsa Qurrotul Ain,10147,Belum Menikah,Single,P,Prohire,Back End Developer,Junior,Fully meets,IHX,Squad C,04/17/86,Jawa,1/10/2011,4/1/2018,unhappy,Voluntarily Terminated,CareerBuilder,4,4,4,0,2/3/2017,0,4
Kushal Choudhary,10148,Menikah,Widowed,P,Prohire,Front End Developer,Middle,Fully meets,EWD,Get Support,11/11/1989,Padang,11/7/2011,4/24/2016,maternity leave - did not return,Voluntarily Terminated,Google Search,4.5,5,5,0,3/30/2014,0,2
Lando Rinov Siahaan,10149,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Need improvement,FIN,Bonum,01/19/76,Cina,9/30/2013,,N/A-StillEmployed,Active,Indeed,3.07,3,4,0,1/23/2020,0,10
Lazuardi Firdaus,10150,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Senior,Average,IHL,IndiHome Smart,11/27/79,Sunda,8/19/2013,,N/A-StillEmployed,Active,Indeed,4.3,4,5,0,1/22/2020,0,13
Luluauliayana Sadjugo,10151,Menikah,Married,P,TKP/ Outsource,Back End Developer,Senior,Average,VGA,UseeTV Go,09/21/54,Padang,7/2/2012,,N/A-StillEmployed,Active,Indeed,4.83,5,3,0,1/17/2020,0,10
Luqman Aminullah,10152,Belum Menikah,Single,P,TKP/ Outsource,System Documentation,Middle,Fully meets,FIN,Platform,8/12/1973,Bali,9/26/2011,6/4/2017,more money,Voluntarily Terminated,Google Search,3.6,4,5,0,3/1/2016,0,16
M Aidiel Rachman Putra,10153,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Scrum Master,Junior,Exceed,COM,ChatAja,8/10/1970,Padang,9/26/2011,1/9/2016,more money,Voluntarily Terminated,Google Search,3.49,3,4,0,1/30/2014,0,6
M Fadli Yoga Prawira,10154,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Front End Developer,Junior,Exceed,COM,UMEETME,10/11/1977,Sunda,2/17/2014,,N/A-StillEmployed,Active,LinkedIn,3.1,3,3,0,2/6/2020,0,3
M Iqbal,10155,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Front End Developer,Junior,Special treatment,VGA,Ads Based,2/2/1980,Bali,1/10/2011,,N/A-StillEmployed,Active,Indeed,3.38,3,3,0,1/21/2020,0,17
M Luthfi Ridhwan,10156,Belum Menikah,Single,L,Prohire,Front End Developer,Middle,Exceed,VGA,IndiBOX Apps,02/24/69,Jawa,3/7/2011,,N/A-StillEmployed,Active,Diversity Job Fair,3.65,4,5,0,1/17/2020,0,20
M. Abdurrahman Lathief Pratama,10157,Menikah,Widowed,L,Prohire,Back End Developer,Junior,Fully meets,IHL,IndiHome Music,04/23/86,Sunda,11/10/2014,,N/A-StillEmployed,Active,Employee Referral,4.46,4,5,6,1/7/2020,0,7
M. Afsori,10158,Belum Menikah,Single,L,Prohire,Back End Developer,Junior,Exceed,VGA,UseeTV Go,1/7/1972,Cina,1/10/2011,12/12/2017,attendance,Terminated for Cause,Employee Referral,4.78,5,4,0,2/15/2016,0,9
M. Bahtiar,10159,Belum Menikah,Single,P,Prohire,UI Designer,Junior,Fully meets,EDU,Squad Pijar Corpu,07/25/79,Cina,1/7/2013,3/31/2016,Another position,Voluntarily Terminated,Indeed,4.52,5,3,0,2/20/2015,0,20
M. Ridwan,10160,Belum Menikah,Single,L,TKP/ Outsource,Business Analyst,Middle,Exceed,EDU,Squad Pijar Mahir,9/12/1986,Padang,7/9/2012,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,2/4/2020,0,13
M. Sifaun Niam,10161,Belum Menikah,Single,L,TKP/ Outsource,Business Analyst,Junior,Special treatment,EWD,Product & Content Management System,04/26/84,Cina,1/6/2014,,N/A-StillEmployed,Active,Website,5,5,4,4,1/17/2020,0,3
M.Khairi Usman,10162,Menikah,Married,L,Prohire,Business Analyst,Junior,Exceed,EWD,Progressive Web App,9/5/1984,Sunda,4/2/2012,4/15/2015,more money,Voluntarily Terminated,Google Search,4.9,5,3,0,2/20/2014,0,20
Magfira Fairuz,10163,Menikah,Married,P,Prohire,Business Analyst,Junior,Exceed,EWD,Activate & Install,06/14/87,Cina,10/2/2016,,N/A-StillEmployed,Active,Indeed,4.1,4,5,7,1/8/2020,0,2
Mahardicka Nurachman,10164,Menikah,Pernah Menikah/Bercerai,P,Prohire,Front End Developer,Junior,Exceed,LGT,Logee Truck Web,01/17/79,Padang,9/26/2011,8/19/2020,return to school,Voluntarily Terminated,CareerBuilder,4.88,5,3,0,7/2/2018,0,17
Maman Imtiyaz,10165,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Exceed,IHX,Squad B,10/6/1984,Sunda,1/5/2016,,N/A-StillEmployed,Active,CareerBuilder,4.1,4,4,0,1/28/2020,0,20
Mauliawan Prima Santosa,10166,Menikah,Married,L,TKP/ Outsource,UX Designer,Junior,Fully meets,VGA,IndiBOX Apps,2/9/1982,Sunda,5/14/2012,,N/A-StillEmployed,Active,Google Search,4.1,4,3,0,2/22/2020,0,10
Meidiana Aprilliani,10167,Menikah,Widowed,L,TKP/ Outsource,Front End Developer,Junior,Exceed,VGA,UseeTV Go,12/27/88,Bali,4/30/2012,,N/A-StillEmployed,Active,Website,4.53,5,3,0,1/29/2020,0,16
Mesakh,10168,Menikah,Widowed,P,TKP/ Outsource,Product Owner,Junior,Average,LGT,Logee Truck Apps,10/26/81,Cina,9/30/2013,,N/A-StillEmployed,Active,Website,4.1,4,3,0,1/21/2020,0,11
Mochamad Ramdhan,10169,Menikah,Widowed,P,TKP/ Outsource,Scrum Master,Middle,Special treatment,EDU,Squad Pijar Sekolah,03/26/81,Padang,7/5/2011,9/26/2020,unhappy,Voluntarily Terminated,Indeed,3.18,3,4,0,3/2/2019,0,16
Moh Anang Nur Aji Pambudi,10170,Menikah,Married,L,Prohire,UX Researcher,Junior,Fully meets,EDU,Squad Pijar Sekolah,03/19/79,Cina,7/8/2013,,N/A-StillEmployed,Active,LinkedIn,4,4,3,0,2/18/2020,0,7
Mohamad Rinaldy,10171,Menikah,Pernah Menikah/Bercerai,P,Prohire,Front End Developer,Middle,Need improvement,EDU,Squad Pijar Sekolah,5/10/1988,Bali,1/21/2011,,N/A-StillEmployed,Active,Diversity Job Fair,4.64,5,4,5,1/25/2020,0,14
Mohammad Alhafidz Permana Baskoro,10172,Menikah,Married,P,TKP/ Outsource,Digital Product Manager,Junior,Special treatment,ENT,MyPertamina,12/26/76,Padang,7/8/2013,9/15/2018,more money,Voluntarily Terminated,LinkedIn,4.65,5,4,0,6/10/2017,0,15
Mohammad Zamal Syahputra,10173,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Digital Product Manager,Junior,Fully meets,HLT,Pre Vaksinasi,03/28/82,Padang,8/19/2013,,N/A-StillEmployed,Active,Indeed,4.2,4,4,0,2/12/2020,0,19
Mohammed Ammad,10174,Belum Menikah,Single,P,TKP/ Outsource,UI Designer,Senior,Fully meets,COM,ChatAja,10/22/75,Bali,2/16/2015,,N/A-StillEmployed,Active,Website,5,5,3,0,1/23/2020,0,6
Mona Turisna Nasution,10175,Belum Menikah,Single,P,TKP/ Outsource,UI Designer,Junior,Average,VGA,UseeTV Go,02/14/73,Cina,11/7/2011,11/14/2017,Another position,Voluntarily Terminated,Diversity Job Fair,5,5,4,0,2/2/2016,0,17
Muhamad,10176,Menikah,Married,L,TKP/ Outsource,Back End Developer,Junior,Average,FIN,MPS,9/11/1972,Sunda,9/24/2012,9/26/2019,hours,Voluntarily Terminated,Indeed,3.08,3,4,0,4/1/2018,0,18
Muhamad Hanif Abiyoga,10177,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Junior,Average,IHX,Squad A,7/7/1986,Sunda,1/6/2014,,N/A-StillEmployed,Active,LinkedIn,4.6,5,4,0,2/26/2020,0,14
Muhamad Son'ani,10178,Menikah,Married,P,TKP/ Outsource,Back End Developer,Senior,Exceed,FIN,Platform,08/25/76,Cina,5/11/2016,,N/A-StillEmployed,Active,LinkedIn,5,5,3,0,1/21/2020,0,4
Muhamad Syaifurrahman Muhtarom,10179,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Junior,Exceed,ENT,HunianAja,10/12/1986,Cina,7/5/2011,8/19/2014,Another position,Voluntarily Terminated,LinkedIn,5,5,4,0,7/2/2013,0,16
Muhammad Abdurrahim Suwandi,10180,Belum Menikah,Single,P,TKP/ Outsource,Product Owner,Junior,Fully meets,Com,DTP Com,7/11/1974,Jawa,11/11/2013,,N/A-StillEmployed,Active,LinkedIn,4.1,4,3,0,1/22/2020,0,11
Muhammad Afthon,10181,Menikah,Pernah Menikah/Bercerai,P,Prohire,Product Owner,Middle,Special treatment,COM,UMEETME,7/11/1987,Cina,11/11/2013,,N/A-StillEmployed,Active,Google Search,4.5,5,5,4,1/14/2020,0,14
Muhammad Agiet Putra,10182,Belum Menikah,Single,P,Prohire,Product Owner,Middle,Exceed,EWD,Get Support,11/22/77,Jawa,5/31/2011,,N/A-StillEmployed,Active,Indeed,5,5,4,0,1/10/2020,0,8
Muhammad Akmalul Ginan,10183,Menikah,Widowed,P,TKP/ Outsource,Business Analyst,Junior,Exceed,FIN,GTM,05/21/87,Bali,3/30/2015,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,2/7/2020,0,16
Muhammad Andika Tata,10184,Belum Menikah,Single,P,TKP/ Outsource,Business Analyst,Junior,Fully meets,ENT,MyPertamina,7/1/1987,Jawa,1/7/2013,,N/A-StillEmployed,Active,CareerBuilder,3.93,4,3,0,1/30/2020,0,20
Muhammad Attallah Zhuhry,10185,Menikah,Married,L,TKP/ Outsource,Product Owner,Middle,Average,FIN,Bonum,1/7/1984,Cina,7/6/2016,,N/A-StillEmployed,Active,Website,3.4,3,4,0,1/29/2020,0,7
Muhammad Faishal Ramadhan,10186,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Business Analyst,Junior,Exceed,COM,UMEETME,05/30/68,Jawa,4/2/2012,11/11/2018,Another position,Voluntarily Terminated,Diversity Job Fair,4.18,4,4,0,2/5/2017,0,17
Muhammad Fauzi,10187,Belum Menikah,Single,P,TKP/ Outsource,Business Analyst,Junior,Average,FIN,Inpoin,09/22/76,Padang,3/30/2015,,N/A-StillEmployed,Active,CareerBuilder,5,5,4,0,1/21/2020,0,10
Muhammad Febriansyah,10188,Menikah,Married,L,Karyawan Organik,Business Analyst,Middle,Fully meets,IHX,Squad B,10/8/1981,Jawa,8/16/2012,,N/A-StillEmployed,Active,Indeed,4.37,4,3,0,1/14/2020,0,2
Muhammad Ilham Rilambang,10189,Belum Menikah,Single,L,Karyawan Organik,Product Owner,Junior,Exceed,EWD,Explore,06/29/85,Cina,8/15/2011,9/4/2016,unhappy,Voluntarily Terminated,LinkedIn,3,3,2,0,1/14/2014,6,6
Muhammad Indrawan,10190,Menikah,Widowed,L,TKP/ Outsource,Product Owner,Middle,Average,COM,ChatAja,08/17/92,Cina,11/7/2011,,N/A-StillEmployed,Active,LinkedIn,3.7,4,3,0,1/8/2020,0,14
Muhammad Jamaludin,10191,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Product Owner,Junior,Average,COM,OCA,5/10/1986,Jawa,2/15/2012,,N/A-StillEmployed,Active,Diversity Job Fair,2.39,2,3,6,2/22/2020,4,13
Muhammad Maulana Darrel Monty,10192,Belum Menikah,Single,P,TKP/ Outsource,Business Analyst,Junior,Fully meets,FIN,GTM,04/24/70,Padang,5/13/2013,,N/A-StillEmployed,Active,Indeed,4.7,5,3,0,1/14/2020,0,1
Muhammad Maulana Hadi,10193,Menikah,Married,L,TKP/ Outsource,Product Owner,Junior,Fully meets,FIN,GTM,3/12/1976,Bali,1/9/2012,,N/A-StillEmployed,Active,Diversity Job Fair,4.1,4,4,0,1/31/2020,0,12
Muhammad Misbah Arya Lugina,10194,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,UI Designer,Junior,Average,FIN,Inpoin,4/4/1979,Sunda,2/16/2015,,N/A-StillEmployed,Active,CareerBuilder,3.81,4,3,6,2/11/2020,0,6
Muhammad Raihan Nismara,10195,Belum Menikah,Single,P,TKP/ Outsource,UX Designer,Junior,Average,EDU,Squad Pijar Corpu,7/7/1984,Padang,4/1/2013,,N/A-StillEmployed,Active,LinkedIn,4.4,4,4,0,1/17/2020,0,18
Muhammad Rajab Priharsanto,10196,Belum Menikah,Single,L,TKP/ Outsource,UI Designer,Junior,Average,EDU,Squad Pijar Mahir,1/12/1974,Sunda,5/13/2013,,N/A-StillEmployed,Active,LinkedIn,4.29,4,5,0,1/28/2020,0,11
Muhammad Risano Akbar,10197,Belum Menikah,Single,L,TKP/ Outsource,UX Designer,Junior,Fully meets,EWD,Delivery & Project Mgt,04/18/80,Jawa,7/8/2013,,N/A-StillEmployed,Active,LinkedIn,4.1,4,4,0,1/22/2020,0,13
Muhammad Rizki Nofsyiami,10198,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,UI Designer,Junior,Need improvement,EWD,Refactoring New IA,04/25/70,Padang,2/10/2017,,N/A-StillEmployed,Active,Indeed,5,5,3,6,2/25/2020,0,17
Muhammad Rizqi Mubarak,10199,Belum Menikah,Single,L,TKP/ Outsource,UI Designer,Junior,Exceed,ENT,MyPertamina,2/5/1989,Jawa,9/26/2011,4/4/2016,return to school,Voluntarily Terminated,Diversity Job Fair,4.3,4,3,0,3/2/2014,0,19
Muhammad Rozinul Mahrus,10200,Menikah,Married,L,TKP/ Outsource,UX Designer,Middle,Average,EDU,Squad Service Core,03/28/83,Bali,4/1/2013,5/25/2018,more money,Voluntarily Terminated,Employee Referral,3.18,3,3,0,3/6/2017,0,10
Muhammad Sidiq,10201,Menikah,Widowed,L,TKP/ Outsource,UI Designer,Middle,Average,COM,UMEETME,8/4/1977,Bali,5/12/2014,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,2/18/2020,0,11
Nabilla,10202,Menikah,Widowed,P,TKP/ Outsource,UX Writer,Junior,Fully meets,Com,DTP Com,3/6/1967,Sunda,4/1/2013,,N/A-StillEmployed,Active,Diversity Job Fair,4,4,3,0,2/13/2020,0,12
Nanda Yusuf,10203,Menikah,Widowed,P,TKP/ Outsource,UX Designer,Junior,Average,COM,UMEETME,03/31/89,Jawa,7/8/2013,,N/A-StillEmployed,Active,Indeed,5,5,5,0,1/25/2020,0,2
Naufal Rasyad,10204,Belum Menikah,Single,P,TKP/ Outsource,UX Writer,Junior,Fully meets,EDU,Squad Pijar Corpu,7/7/1984,Bali,7/8/2013,,N/A-StillEmployed,Active,LinkedIn,3.6,4,5,0,1/2/2020,0,4
Naufal Rizky Pratama,10205,Menikah,Widowed,P,TKP/ Outsource,Artificial Intelligent,Junior,Average,EDU,Squad Pijar Mahir,11/23/85,Cina,11/10/2014,,N/A-StillEmployed,Active,Indeed,4.53,5,5,0,1/16/2020,0,5
Nila Herlina,10206,Belum Menikah,Single,P,Prohire,UI Designer,Junior,Exceed,IHX,Squad C,09/30/80,Bali,3/31/2014,5/1/2020,performance,Terminated for Cause,LinkedIn,2.33,2,2,0,3/9/2019,6,3
Nurisyani,10207,Menikah,Married,P,Prohire,Back End Developer,Junior,Average,LGT,Logee Truck All Product,11/2/1952,Bali,5/14/2012,8/19/2015,unhappy,Voluntarily Terminated,LinkedIn,5,5,3,0,7/2/2014,0,17
Nurkhasanah,10208,Belum Menikah,Single,P,Prohire,Back End Developer,Junior,Need improvement,COM,OCA,11/5/1990,Sunda,9/30/2013,,N/A-StillEmployed,Active,Indeed,4.28,4,3,0,1/25/2020,0,1
Peni Kurniawati,10209,Belum Menikah,Single,L,Prohire,Front End Developer,Junior,Fully meets,FIN,Platform,11/12/1976,Padang,9/30/2013,,N/A-StillEmployed,Active,LinkedIn,5,5,3,0,2/7/2020,0,13
Prajna Vira,10210,Belum Menikah,Single,L,Prohire,Front End Developer,Junior,Fully meets,FIN,Platform,11/24/79,Bali,2/17/2014,,N/A-StillEmployed,Active,LinkedIn,4.25,4,3,0,2/4/2020,4,6
Pratama Agung Sumirat,10211,Belum Menikah,Single,L,Prohire,Front End Developer,Junior,Exceed,FIN,Platform,05/19/82,Cina,1/5/2015,,N/A-StillEmployed,Active,Website,5,5,5,0,1/14/2020,0,18
Prita Normanita,10212,Belum Menikah,Single,P,Prohire,Front End Developer,Junior,Average,ENT,MyPertamina,1/5/1979,Bali,2/7/2011,1/12/2016,Another position,Voluntarily Terminated,Google Search,3.89,4,4,0,3/4/2014,0,7
Qaedif Fuadillah,10213,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Back End Developer,Junior,Special treatment,COM,UMEETME,02/20/79,Jawa,11/7/2011,9/7/2017,Another position,Voluntarily Terminated,Diversity Job Fair,5,5,5,3,8/16/2016,0,13
Qalfin Qallista Turandy,10214,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Mobile Developer Android,Middle,Average,EWD,RPA & Profitability,5/9/1984,Jawa,12/1/2014,5/1/2018,performance,Voluntarily Terminated,Employee Referral,4.7,5,4,5,1/16/2017,0,19
R Aditya Prastyawan,10215,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Exceed,EDU,Squad Pijar Mahir,03/17/88,Cina,1/10/2011,12/28/2019,career change,Voluntarily Terminated,Google Search,3.54,4,5,0,4/6/2018,4,15
R. Abimanyu Sutomo,10216,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Back End Developer,Senior,Exceed,ENT,HunianAja,07/18/89,Cina,7/5/2011,9/15/2017,unhappy,Voluntarily Terminated,CareerBuilder,2.4,2,5,0,2/6/2016,5,2
Rachman Teja,10217,Menikah,Married,P,Karyawan Organik,Back End Developer,Junior,Exceed,LGT,Logee Port (Maintainer),07/20/86,Padang,5/16/2011,10/25/2017,medical issues,Voluntarily Terminated,LinkedIn,3.45,3,4,0,5/13/2015,0,5
